Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Harvard,Ivy League,16-11,0.593,-1,104,7.06,92,48.01,89,90.50,120,22.69,2.74,92,43.42,98,42.84,0.99,0.01
Georgetown,Big East,21-10,0.677,+2,80,7.27,93,47.94,204,83.12,30,30.00,2.68,84,45.16,81,45.69,0.12,0.88
Temple,American Athletic,19-11,0.633,+4,101,7.08,94,47.80,105,89.57,108,23.40,2.63,96,42.93,96,42.93,0.00,0.00
Wisconsin,Big 10,13-16,0.448,-10,95,7.15,95,47.17,133,87.16,77,25.18,2.78,60,51.58,60,51.58,0.00,0.00
Missouri St,Missouri Val,21-8,0.724,-7,97,7.13,96,47.15,121,87.86,88,24.47,2.71,127,40.70,127,40.70,0.00,0.00
Portland,West Coast,19-12,0.613,+1,108,7.01,97,47.00,115,88.39,100,23.78,2.66,103,42.24,104,42.24,0.00,0.00
North Texas,American Athletic,23-7,0.767,+4,85,7.21,98,46.90,69,92.08,181,19.99,2.69,119,41.22,119,41.22,0.00,0.00
Rice,American Athletic,15-14,0.517,-6,117,6.94,99,46.87,107,89.55,125,22.50,2.64,87,43.98,87,43.87,0.67,0.33
VCU,Atlantic 10,26-5,0.839,-5,79,7.28,100,46.55,207,82.94,38,28.78,2.66,156,39.14,157,39.14,0.00,0.00
Cincinnati,Big 12,14-17,0.452,+4,92,7.16,101,46.34,142,86.56,79,24.95,2.56,55,52.12,55,52.12,0.00,0.00
Colorado St,Mountain West,19-10,0.655,+7,115,6.94,102,46.26,110,89.34,138,22.09,2.75,145,39.60,145,39.57,0.71,0.29
George Mason,Atlantic 10,23-7,0.767,-9,96,7.14,103,46.10,132,87.23,95,24.04,2.68,137,40.25,136,40.25,0.00,0.00
East Carolina,American Athletic,16-13,0.552,-1,116,6.94,104,45.98,131,87.35,99,23.80,2.78,91,43.42,91,43.50,0.51,0.49
Tulsa,American Athletic,23-8,0.742,+4,84,7.21,105,45.85,90,90.43,169,20.58,2.74,94,43.20,93,43.20,0.00,0.00
